title,author,tokens,sentences,ttr,sentiment,JJ,JJR,JJS,VBD,MD,RB,RBR,RBS
Mansfield_Park,Austen Jane,157945,5703,0.29433333333333334,0.2089110468174641,9653,611,476,9414,4157,11283,414,182
Sense_and_Sensibility,Austen Jane,117441,3969,0.27166666666666667,0.20343625598387416,7166,445,286,7401,2805,8338,305,134
Northanger_Abbey,Austen Jane,76014,2729,0.3416666666666667,0.20233796262367218,4884,238,213,4586,1751,5785,155,90
Persuasion,Austen Jane,83063,3145,0.325,0.20770600953895083,5309,290,225,5420,1891,5862,211,88
Emma,Austen Jane,153033,5847,0.2786666666666667,0.2235064135454067,9885,548,398,8930,4389,12218,334,198
Pride_and_Prejudice,Austen Jane,120845,4655,0.27666666666666667,0.1926995488721797,7135,385,324,7874,2870,8555,255,148
History of Tom Jones a Foundling,Fielding Henry,348241,9340,0.28633333333333333,0.1576972269807277,21946,1195,1096,18939,7176,22765,707,463
The House of Heine Brothers in Munich,Trollope Anthony,12957,578,0.291,0.16323096885813138,739,33,20,652,371,813,25,1
Barchester Towers,Trollope Anthony,197259,10448,0.3516666666666667,0.12582007082695257,11944,424,391,13408,4392,13543,300,141
Sir Harry Hotspur of Humblethwaite,Trollope Anthony,73569,4313,0.301,0.11061333178761883,3645,216,161,4764,2333,4874,86,25
The Mistletoe Bough,Trollope Anthony,12142,563,0.2976666666666667,0.10972611012433389,664,23,20,641,308,746,20,1
Pamela Volume II,Richardson Samuel,211391,6777,0.2816666666666667,0.32966687324774857,13487,809,601,7222,6059,13008,419,178
The Diary and Letters of Madame DArblay — Volume 1,Burney Fanny,179857,8686,0.42833333333333334,0.13388821091411438,10839,434,422,11632,2949,12332,346,292
Stories for the Young; Or Cheap Repository Tracts\r\nEntertaining Moral and Religious. Vol. VI.,More Hannah,35370,1327,0.3363333333333333,0.0627204220045215,2415,93,74,2142,622,2171,56,26
Camilla; or A Picture of Youth,Burney Fanny,350068,14325,0.43766666666666665,0.09525535078533941,22148,911,951,22607,6444,23295,797,484
The Courtship of Susan Bell,Trollope Anthony,15023,789,0.302,0.15274245880861834,814,27,23,1137,286,1083,17,4
